instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE0J1E01027,10296,KCK,KCK INDUSTRIES LTD,39.7,,,0.05,2500.0,EQUITY,,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,15998.0,,,1.0,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE319B01014,7919,BYKE,THE BYKE HOSPITALITY LTD,64.82,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,217.15,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE912H01013,18029,MBLINFRA,MBL INFRASTRUCTURE LTD,43.75,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE763I01026,15174,TARIL,TRANS & RECTI. LTD,494.05,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE875G01048,31258,NDL,NANDAN DENIM LIMITED,3.28,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE919I01024,19877,RADIOCITY,MUSIC BROADCAST LIMITED,8.46,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE314T01025,14480,GOKULAGRO,GOKUL AGRO RESOURCES LTD,394.4,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE268H01044,29149,NAVKARURB,NAVKAR URBANSTRUCTURE LTD,2.3,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE395U01014,14194,NINSYS,NINTEC SYSTEMS LIMITED,437.5,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE970X01018,2606,LEMONTREE,LEMON TREE HOTELS LTD,170.67,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE522D01027,19061,MANAPPURAM,MANAPPURAM FINANCE LTD,290.75,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE839G01010,16927,JOCIL,JOCIL LIMITED,154.12,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE250B01029,16821,VINYLINDIA,VINYL CHEMICALS (I) LTD.,293.35,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE955I01044,7091,SEJALLTD,SEJAL GLASS LIMITED,736.3,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE485C01029,20413,IOLCP,IOL CHEM AND PHARMA LTD,103.87,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE660C01027,2454,CENTRUM,CENTRUM CAPITAL LIMITED,34.69,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE991I01015,17270,ASPINWALL,ASPINWALL & CO LTD,264.7,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE932X01026,104,SHAREINDIA,SHARE IND. SECURITIES LTD,139.57,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE032A01023,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,177.74,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE177A01018,1597,INGERRAND,INGERSOLL-RAND INDIA LTD,4065.5,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE175A01038,10397,JISLJALEQS,JAIN IRRIGATION SYSTEMS,52.56,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE629D01020,14511,BANSWRAS,BANSWARA SYNTEX LIMITED,128.15,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE737H01014,13710,FIEMIND,FIEM INDUSTRIES LIMITED,1910.4,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE916U01025,19184,SFL,SHEELA FOAM LIMITED,672.0,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE540G01014,15234,AMBIKCO,AMBIKA COTTON MILL LTD.,1416.9,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE672B01032,13511,MUNJALAU,MUNJAL AUTO IND. LTD.,101.68,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE201P01022,5054,GRINFRA,G R INFRAPROJECTS LIMITED,1231.2,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE427F01016,8546,CHALET,CHALET HOTELS LIMITED,968.25,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE227G01018,14952,INDOWIND,INDOWIND ENERGY LTD,16.19,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE00R701025,8075,DALBHARAT,DALMIA BHARAT LIMITED,2251.2,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE267A01025,1424,HINDZINC,HINDUSTAN ZINC LIMITED,491.5,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE466L01038,13061,360ONE,360 ONE WAM LIMITED,1062.4,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE545H01011,14223,TIIL,TECHNOCRAFT IND LTD,2228.1,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE070A01015,3103,SHREECEM,SHREE CEMENT LIMITED,29295.0,,,5.0,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE242C01024,13620,ANANTRAJ,ANANT RAJ LIMITED,705.0,,,0.05,1.0,EQUITY,,NSE_EQ
INE591G01025,11543,COFORGE,COFORGE LIMITED,1662.4,,,0.1,1.0,EQUITY,,NSE_EQ
INE438K01021,18755,KALAMANDIR,SAI SILKS (KALAMANDIR) L,179.4,,,0.01,1.0,EQUITY,,NSE_EQ
INE879A01019,7634,SHREERAMA,SHREE RAMA MULTI TECH LTD,59.65,,,0.01,1.0,EQUITY,,NSE_EQ
INE202E08193,23250,759IRDA34,IREDA 7.59% 2034 SR XV H,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE885E01042,18866,MAZDA,MAZDA LIMITED,288.75,,,0.05,1.0,EQUITY,,NSE_EQ
INE675C01017,5142,CIGNITITEC,CIGNITI TECHNOLOGIES LTD,1573.2,,,0.1,1.0,EQUITY,,NSE_EQ
INE146L01010,20936,KIRLOSENG,KIRLOSKAR OIL ENG LTD,893.05,,,0.05,1.0,EQUITY,,NSE_EQ
INE623A01011,2969,SAKHTISUG,SAKTHI SUGARS LTD,21.45,,,0.01,1.0,EQUITY,,NSE_EQ
INE134E08MZ8,23109,755PFC27,PFC 7.55% 2027 SR BS238,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE134E08MY1,22795,749PFC34,PFC 7.49% 2034 SR BS237B,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE062A01020,3045,SBIN,STATE BANK OF INDIA,874.05,,,0.05,1.0,EQUITY,,NSE_EQ
INE095I01015,15213,PPAP,PPAP AUTOMOTIVE LIMITED,230.45,,,0.01,1.0,EQUITY,,NSE_EQ
INE916Y07040,759098,12AFIL27A,AFIL 12% 2027,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE916Y07032,759446,12AFIL27,AFIL 12% 2027 SR 1,9500.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE020B07ID2,2933,863REC29,BOND8.63% PA TF TR II S2A,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE020B07IG5,2947,888REC29,BOND8.88% PA TF TR II S2B,1175.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE020B07IE0,2935,861REC34,BOND8.61% PA TF TR II S3A,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE020B07IH3,2953,886REC34,BOND8.86% PA TF TR II S3B,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE031A07AO5,19928,764HUDCO31,7.64% TAX FREETRI SR2B,1148.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE031A07AT4,19930,769HUDCO31,7.69% TAX FREETRII SR2B,1150.02,,,0.01,1.0,EQUITY,,NSE_EQ
INE053F07660,591,840IRFC29,BOND 8.40% PA TF TI-SIIA,0.0,,,0.01,1.0,EQUITY,,NSE_EQ
INE053F07686,603,865IRFC29,BOND 8.65% PA TF TI-SIIB,1144.5,,,0.01,1.0,EQUITY,,NSE_EQ
INE053F07728,1991,863IRFC29,BOND 8.63% PA TF TII-SIIA,1127.1,,,0.01,1.0,EQUITY,,NSE_EQ
INE053F07744,1999,888IRFC29,BOND 8.88% PA TF TII-SIIB,1149.15,,,0.01,1.0,EQUITY,,NSE_EQ
